smiles,cid_tid_smiles
Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1,CHEMBL3809848&CHEMBL3594&Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1
C#CCCCOc1ccc2ccc(=O)oc2c1,CHEMBL3121782&CHEMBL3594&C#CCCCOc1ccc2ccc(=O)oc2c1
C#CCCCOc1ccc2ccc(=S)oc2c1,CHEMBL3760055&CHEMBL3594&C#CCCCOc1ccc2ccc(=S)oc2c1
C#CCN(CC#C)CCCCOc1ccc(S(N)(=O)=O)cc1,CHEMBL4435346&CHEMBL3594&C#CCN(CC#C)CCCCOc1ccc(S(N)(=O)=O)cc1
C#CCN(CC#C)CCc1ccc(S(N)(=O)=O)cc1,CHEMBL4566851&CHEMBL3594&C#CCN(CC#C)CCc1ccc(S(N)(=O)=O)cc1
C#CCN(CC#C)c1ccc(S(N)(=O)=O)cc1,CHEMBL3402973&CHEMBL3594&C#CCN(CC#C)c1ccc(S(N)(=O)=O)cc1
C#CCN1C(=O)c2ccccc2S1(=O)=O,CHEMBL3125560&CHEMBL3594&C#CCN1C(=O)c2ccccc2S1(=O)=O
C#CCNC(=O)c1ccc(S(N)(=O)=O)cc1,CHEMBL386542&CHEMBL3594&C#CCNC(=O)c1ccc(S(N)(=O)=O)cc1
C#CCNc1ccc(S(N)(=O)=O)cc1,CHEMBL4454802&CHEMBL3594&C#CCNc1ccc(S(N)(=O)=O)cc1
C#CCNc1ccc2c(C)cc(=O)oc2c1,CHEMBL4586124&CHEMBL3594&C#CCNc1ccc2c(C)cc(=O)oc2c1
C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,CHEMBL217569&CHEMBL3594&C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1
C#CCOC1=NS(=O)(=O)OC(C)=C1,CHEMBL3322438&CHEMBL3594&C#CCOC1=NS(=O)(=O)OC(C)=C1
C#CCOP(=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1,CHEMBL4447288_CHEMBL4464493_CHEMBL4519039&CHEMBL3594&C#CCOP(=O)(Oc1ccc(S(N)(=O)=O)cc1)c1ccccc1
C#CCOc1c(C=NCc2ccc(S(N)(=O)=O)cc2)cccc1OC,CHEMBL4435171&CHEMBL3594&C#CCOc1c(C=NCc2ccc(S(N)(=O)=O)cc2)cccc1OC
C#CCOc1cc(N(CC)CC)ccc1C=NCc1ccc(S(N)(=O)=O)cc1,CHEMBL4556773&CHEMBL3594&C#CCOc1cc(N(CC)CC)ccc1C=NCc1ccc(S(N)(=O)=O)cc1
C#CCOc1ccc(Br)cc1C=NCc1ccc(S(N)(=O)=O)cc1,CHEMBL4476824&CHEMBL3594&C#CCOc1ccc(Br)cc1C=NCc1ccc(S(N)(=O)=O)cc1
C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL4539044&CHEMBL3594&C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1
C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1OC,CHEMBL4514845&CHEMBL3594&C#CCOc1ccc(C=NCc2ccc(S(N)(=O)=O)cc2)cc1OC
C#CCOc1ccc(S(N)(=O)=O)cc1,CHEMBL3402961&CHEMBL3594&C#CCOc1ccc(S(N)(=O)=O)cc1
C#CCOc1ccc([N+](=O)[O-])cc1C=NCc1ccc(S(N)(=O)=O)cc1,CHEMBL4582534&CHEMBL3594&C#CCOc1ccc([N+](=O)[O-])cc1C=NCc1ccc(S(N)(=O)=O)cc1
C#CCOc1ccc2c(c1)C=CS(=O)(=O)O2,CHEMBL4448721&CHEMBL3594&C#CCOc1ccc2c(c1)C=CS(=O)(=O)O2
C#CCOc1ccc2c(c1)OS(=O)(=O)C=C2,CHEMBL4519372&CHEMBL3594&C#CCOc1ccc2c(c1)OS(=O)(=O)C=C2
C#CCOc1ccc2ccc(=O)oc2c1,CHEMBL308819&CHEMBL3594&C#CCOc1ccc2ccc(=O)oc2c1
C#CCOc1ccc2ccccc2c1C=NCc1ccc(S(N)(=O)=O)cc1,CHEMBL4471510&CHEMBL3594&C#CCOc1ccc2ccccc2c1C=NCc1ccc(S(N)(=O)=O)cc1
C#CCOc1ccc2oc(=O)ccc2c1,CHEMBL3322093&CHEMBL3594&C#CCOc1ccc2oc(=O)ccc2c1
C#CCOc1cccc(C=NCc2ccc(S(N)(=O)=O)cc2)c1,CHEMBL4460516&CHEMBL3594&C#CCOc1cccc(C=NCc2ccc(S(N)(=O)=O)cc2)c1
C#CCOc1ccccc1C=NCc1ccc(S(N)(=O)=O)cc1,CHEMBL4572678&CHEMBL3594&C#CCOc1ccccc1C=NCc1ccc(S(N)(=O)=O)cc1
C#CCSc1ccc(S(N)(=O)=O)cc1,CHEMBL4462614&CHEMBL3594&C#CCSc1ccc(S(N)(=O)=O)cc1
C#CCSc1ccncc1S(N)(=O)=O,CHEMBL1164486&CHEMBL3594&C#CCSc1ccncc1S(N)(=O)=O
C#Cc1ccc(S(N)(=O)=O)cc1,CHEMBL272881&CHEMBL3594&C#Cc1ccc(S(N)(=O)=O)cc1
C#Cc1cccc(S(N)(=O)=O)c1,CHEMBL1232090&CHEMBL3594&C#Cc1cccc(S(N)(=O)=O)c1
C=C(C)C(COC(=O)c1cccnc1)c1c(OC)ccc2ccc(=O)oc12,CHEMBL2334352&CHEMBL3594&C=C(C)C(COC(=O)c1cccnc1)c1c(OC)ccc2ccc(=O)oc12
C=C(C)C=Cc1c(OC)c2c(c3ccc(=O)oc13)OC(C)(C)C=C2,CHEMBL2334004&CHEMBL3594&C=C(C)C=Cc1c(OC)c2c(c3ccc(=O)oc13)OC(C)(C)C=C2
C=C(C)CNS(=O)(=O)c1ccc(N)cc1,CHEMBL2333969&CHEMBL3594&C=C(C)CNS(=O)(=O)c1ccc(N)cc1
C=C(Cl)CN(CC(=C)Cl)S(=O)(=O)c1ccc(N)cc1,CHEMBL2333977&CHEMBL3594&C=C(Cl)CN(CC(=C)Cl)S(=O)(=O)c1ccc(N)cc1
C=C(Cl)CNS(=O)(=O)c1ccc(N)cc1,CHEMBL2333976&CHEMBL3594&C=C(Cl)CNS(=O)(=O)c1ccc(N)cc1
C=CCN1C(=O)C(=Nc2ccc(S(N)(=O)=O)cc2)c2ccccc21,CHEMBL5180751&CHEMBL3594&C=CCN1C(=O)C(=Nc2ccc(S(N)(=O)=O)cc2)c2ccccc21
C=CCN1C(=O)C=C(C)OS1(=O)=O,CHEMBL3321764&CHEMBL3594&C=CCN1C(=O)C=C(C)OS1(=O)=O
C=CCN1C(=O)c2ccccc2S1(=O)=O,CHEMBL3125561&CHEMBL3594&C=CCN1C(=O)c2ccccc2S1(=O)=O
C=CCNC(=S)NNC(=O)c1ccccc1O,CHEMBL3633783&CHEMBL3594&C=CCNC(=S)NNC(=O)c1ccccc1O
C=CCNC(=S)NNC(=O)c1ccncc1,CHEMBL1479002&CHEMBL3594&C=CCNC(=S)NNC(=O)c1ccncc1
C=CCNc1ccc(S(N)(=O)=O)cc1,CHEMBL2333964&CHEMBL3594&C=CCNc1ccc(S(N)(=O)=O)cc1
C=CCNc1ccncc1S(N)(=O)=O,CHEMBL1164966&CHEMBL3594&C=CCNc1ccncc1S(N)(=O)=O
C=CCOC1=NS(=O)(=O)OC(C)=C1,CHEMBL3322437&CHEMBL3594&C=CCOC1=NS(=O)(=O)OC(C)=C1
C=CCOc1cc(=O)oc2ccccc12,CHEMBL1957180&CHEMBL3594&C=CCOc1cc(=O)oc2ccccc12
C=CCOc1cc(=S)oc2ccccc12,CHEMBL1957183&CHEMBL3594&C=CCOc1cc(=S)oc2ccccc12
