core,substituents,cid,tid,smiles,analogue_series_id
N#CC1CCCN1C(=O)C1CC([*:1])CN1,[*:1],CHEMBL381626,CHEMBL284,N#CC1CCCN1C(=O)C1CCCN1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,C=C(C)C[*:1],CHEMBL437570,CHEMBL284,C=C(C)CC1CNC(C(=O)N2CCCC2C#N)C1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,C=CC[*:1],CHEMBL245069,CHEMBL284,C=CCC1CNC(C(=O)N2CCCC2C#N)C1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,CC(C)C[*:1],CHEMBL242987,CHEMBL284,CC(C)CC1CNC(C(=O)N2CCCC2C#N)C1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,CCC[*:1],CHEMBL242985,CHEMBL284,CCCC1CNC(C(=O)N2CCCC2C#N)C1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,CN(C)C(=O)C[*:1],CHEMBL391558,CHEMBL284,CN(C)C(=O)CC1CNC(C(=O)N2CCCC2C#N)C1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,CN(C)C(=O)CC[*:1],CHEMBL232311,CHEMBL284,CN(C)C(=O)CCC1CNC(C(=O)N2CCCC2C#N)C1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,C1CCC([*:1])CC1,CHEMBL242492,CHEMBL284,N#CC1CCCN1C(=O)C1CC(C2CCCCC2)CN1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,O=C(O)C[*:1],CHEMBL234158,CHEMBL284,N#CC1CCCN1C(=O)C1CC(CC(=O)O)CN1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,C1CCC(N[*:1])CC1,CHEMBL192882,CHEMBL284,N#CC1CCCN1C(=O)C1CC(NC2CCCCC2)CN1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,OCC[*:1],CHEMBL395919,CHEMBL284,N#CC1CCCN1C(=O)C1CC(CCO)CN1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,Oc1cccc([*:1])c1,CHEMBL243798,CHEMBL284,N#CC1CCCN1C(=O)C1CC(c2cccc(O)c2)CN1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,c1ccc([*:1])cc1,CHEMBL244843_CHEMBL396512,CHEMBL284,N#CC1CCCN1C(=O)C1CC(c2ccccc2)CN1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,Oc1ccc([*:1])cc1,CHEMBL390221,CHEMBL284,N#CC1CCCN1C(=O)C1CC(c2ccc(O)cc2)CN1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,Oc1ccccc1[*:1],CHEMBL245059,CHEMBL284,N#CC1CCCN1C(=O)C1CC(c2ccccc2O)CN1,0
N#CC1CCCN1C(=O)C1CC([*:1])CN1,c1ccc(N[*:1])cc1,CHEMBL195335,CHEMBL284,N#CC1CCCN1C(=O)C1CC(Nc2ccccc2)CN1,0
CC(C)(C(N)C(=O)N1C(C#N)CC2CC21)[*:1],[*:1],CHEMBL2334677,CHEMBL284,CC(C)C(N)C(=O)N1C(C#N)CC2CC21,1
CC(C)(C(N)C(=O)N1C(C#N)CC2CC21)[*:1],C=C[*:1],CHEMBL3350930,CHEMBL284,C=CC(C)(C)C(N)C(=O)N1C(C#N)CC2CC21,1
CC(C)(C(N)C(=O)N1C(C#N)CC2CC21)[*:1],CC[*:1],CHEMBL3350920,CHEMBL284,CCC(C)(C)C(N)C(=O)N1C(C#N)CC2CC21,1
NC(C(=O)[*:1])C12CC3CC(CC(C3)C1)C2,C=CCN(CC#N)[*:1],CHEMBL206077,CHEMBL284,C=CCN(CC#N)C(=O)C(N)C12CC3CC(CC(C3)C1)C2,2
NC(C(=O)[*:1])C12CC3CC(CC(C3)C1)C2,CC(C#N)N[*:1],CHEMBL377944,CHEMBL284,CC(C#N)NC(=O)C(N)C12CC3CC(CC(C3)C1)C2,2
NC(C(=O)[*:1])C12CC3CC(CC(C3)C1)C2,CCCN(CC#N)[*:1],CHEMBL204458,CHEMBL284,CCCN(CC#N)C(=O)C(N)C12CC3CC(CC(C3)C1)C2,2
NC(C(=O)[*:1])C12CC3CC(CC(C3)C1)C2,CCN(CC#N)[*:1],CHEMBL206251,CHEMBL284,CCN(CC#N)C(=O)C(N)C12CC3CC(CC(C3)C1)C2,2
NC(C(=O)[*:1])C12CC3CC(CC(C3)C1)C2,CN(CC#N)[*:1],CHEMBL206434,CHEMBL284,CN(CC#N)C(=O)C(N)C12CC3CC(CC(C3)C1)C2,2
NC(C(=O)[*:1])C12CC3CC(CC(C3)C1)C2,N#CCN(C1CC1)[*:1],CHEMBL383012,CHEMBL284,N#CCN(C(=O)C(N)C12CC3CC(CC(C3)C1)C2)C1CC1,2
N#CC1CC2CC2N1C(=O)C(N)C1([*:1])CCCC1,C=C[*:1],CHEMBL3350932,CHEMBL284,C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCCC1,3
N#CC1CC2CC2N1C(=O)C(N)C1([*:1])CCCC1,CC[*:1],CHEMBL3350924,CHEMBL284,CCC1(C(N)C(=O)N2C(C#N)CC3CC32)CCCC1,3
N#CC1CC2CC2N1C(=O)C(N)C1([*:1])CCCC1,OCC(O)[*:1],CHEMBL3350929,CHEMBL284,N#CC1CC2CC2N1C(=O)C(N)C1(C(O)CO)CCCC1,3
N#CC1CC2CC2N1C(=O)C(N)C1([*:1])CCOCC1,C=C[*:1],CHEMBL3350928,CHEMBL284,C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCOCC1,4
N#CC1CC2CC2N1C(=O)C(N)C1([*:1])CCOCC1,CC[*:1],CHEMBL3350925,CHEMBL284,CCC1(C(N)C(=O)N2C(C#N)CC3CC32)CCOCC1,4
CC(C)(C)OC(=O)NCC(=O)N1CCCC1C(=O)[*:1],C=CO[*:1],CHEMBL5220053,CHEMBL284,C=COC(=O)C1CCCN1C(=O)CNC(=O)OC(C)(C)C,5
CC(C)(C)OC(=O)NCC(=O)N1CCCC1C(=O)[*:1],C(=Cc1ccccc1)O[*:1],CHEMBL5219939,CHEMBL284,CC(C)(C)OC(=O)NCC(=O)N1CCCC1C(=O)OC=Cc1ccccc1,5
