core,substituents,cid,tid,smiles,analogue_series_id
NS(=O)(=O)c1ccc(C(=O)[*:1])cc1,C#CCN[*:1],CHEMBL386542,CHEMBL261,C#CCNC(=O)c1ccc(S(N)(=O)=O)cc1,0
NS(=O)(=O)c1ccc(C(=O)[*:1])cc1,C#CCO[*:1],CHEMBL217569,CHEMBL261,C#CCOC(=O)c1ccc(S(N)(=O)=O)cc1,0
NS(=O)(=O)c1ccc(C(=O)[*:1])cc1,NN[*:1],CHEMBL180323,CHEMBL261,NNC(=O)c1ccc(S(N)(=O)=O)cc1,0
Nc1ccc(S(=O)(=O)[*:1])cc1,C=C(C)CN[*:1],CHEMBL2333969,CHEMBL261,C=C(C)CNS(=O)(=O)c1ccc(N)cc1,1
Nc1ccc(S(=O)(=O)[*:1])cc1,C=C(Cl)CN[*:1],CHEMBL2333976,CHEMBL261,C=C(Cl)CNS(=O)(=O)c1ccc(N)cc1,1
Nc1ccc(S(=O)(=O)[*:1])cc1,CCCN[*:1],CHEMBL2333968,CHEMBL261,CCCNS(=O)(=O)c1ccc(N)cc1,1
NS(=O)(=O)c1ccc(N[*:1])cc1,C#CC[*:1],CHEMBL4454802,CHEMBL261,C#CCNc1ccc(S(N)(=O)=O)cc1,2
NS(=O)(=O)c1ccc(N[*:1])cc1,C=CC[*:1],CHEMBL2333964,CHEMBL261,C=CCNc1ccc(S(N)(=O)=O)cc1,2
NS(=O)(=O)c1ccc(N[*:1])cc1,CC(F)C[*:1],CHEMBL2333966,CHEMBL261,CC(F)CNc1ccc(S(N)(=O)=O)cc1,2
NS(=O)(=O)c1ccc(N[*:1])cc1,CN(C)C(=O)[*:1],CHEMBL5027578,CHEMBL261,CN(C)C(=O)Nc1ccc(S(N)(=O)=O)cc1,2
NS(=O)(=O)c1ccc(N[*:1])cc1,CS(=O)(=O)[*:1],CHEMBL193648,CHEMBL261,CS(=O)(=O)Nc1ccc(S(N)(=O)=O)cc1,2
NS(=O)(=O)c1ccc(N[*:1])cc1,N#CCC(=O)[*:1],CHEMBL2337540,CHEMBL261,N#CCC(=O)Nc1ccc(S(N)(=O)=O)cc1,2
NS(=O)(=O)c1ccc(N[*:1])cc1,NS(=O)(=O)[*:1],CHEMBL2164729,CHEMBL261,NS(=O)(=O)Nc1ccc(S(N)(=O)=O)cc1,2
NS(=O)(=O)c1ccc(N[*:1])cc1,O=C(CCS)[*:1],CHEMBL214201,CHEMBL261,NS(=O)(=O)c1ccc(NC(=O)CCS)cc1,2
NS(=O)(=O)c1ccc(S[*:1])cc1,C#CC[*:1],CHEMBL4462614,CHEMBL261,C#CCSc1ccc(S(N)(=O)=O)cc1,3
NS(=O)(=O)c1ccc(S[*:1])cc1,CCC[*:1],CHEMBL2333400,CHEMBL261,CCCSc1ccc(S(N)(=O)=O)cc1,3
NS(=O)(=O)c1ccc(S[*:1])cc1,OCC[*:1],CHEMBL106848,CHEMBL261,NS(=O)(=O)c1ccc(SCCO)cc1,3
NS(=O)(=O)c1ccc(O[*:1])cc1,C#CC[*:1],CHEMBL3402961,CHEMBL261,C#CCOc1ccc(S(N)(=O)=O)cc1,4
NS(=O)(=O)c1ccc(O[*:1])cc1,C=CC[*:1],CHEMBL3402960,CHEMBL261,C=CCOc1ccc(S(N)(=O)=O)cc1,4
NS(=O)(=O)c1ccc(O[*:1])cc1,CCC[*:1],CHEMBL3402959,CHEMBL261,CCCOc1ccc(S(N)(=O)=O)cc1,4
NS(=O)(=O)c1ccc(O[*:1])cc1,NCCC[*:1],CHEMBL3359170,CHEMBL261,NCCCOc1ccc(S(N)(=O)=O)cc1,4
NS(=O)(=O)c1ccc(O[*:1])cc1,NCC[*:1],CHEMBL3359169,CHEMBL261,NCCOc1ccc(S(N)(=O)=O)cc1,4
NS(=O)(=O)c1cnccc1S[*:1],C#CC[*:1],CHEMBL1164486,CHEMBL261,C#CCSc1ccncc1S(N)(=O)=O,5
NS(=O)(=O)c1cnccc1S[*:1],C[*:1],CHEMBL1165117,CHEMBL261,CSc1ccncc1S(N)(=O)=O,5
NS(=O)(=O)c1cnccc1S[*:1],NC(=O)C[*:1],CHEMBL1163376,CHEMBL261,NC(=O)CSc1ccncc1S(N)(=O)=O,5
NS(=O)(=O)c1ccc(CCN([*:1])[*:2])cc1,[*:1].N#CC[*:2],CHEMBL4648292,CHEMBL261,N#CCNCCc1ccc(S(N)(=O)=O)cc1,6
NS(=O)(=O)c1ccc(CCN([*:1])[*:2])cc1,[*:1].N=C(N)[*:2],CHEMBL2323125,CHEMBL261,N=C(N)NCCc1ccc(S(N)(=O)=O)cc1,6
NS(=O)(=O)c1ccc(CCN([*:1])[*:2])cc1,[*:1].N=C(N)NC(=N)[*:2],CHEMBL4080055,CHEMBL261,N=C(N)NC(=N)NCCc1ccc(S(N)(=O)=O)cc1,6
NS(=O)(=O)c1ccc(CCN([*:1])[*:2])cc1,[*:1].NS(=O)(=O)[*:2],CHEMBL2164731,CHEMBL261,NS(=O)(=O)NCCc1ccc(S(N)(=O)=O)cc1,6
NS(=O)(=O)c1ccc(CCN([*:1])[*:2])cc1,[*:1].O=C(CCS)[*:2],CHEMBL215810,CHEMBL261,NS(=O)(=O)c1ccc(CCNC(=O)CCS)cc1,6
NS(=O)(=O)c1ccc(CCN([*:1])[*:2])cc1,[*:1].S=C(S)[*:2],CHEMBL3400816,CHEMBL261,NS(=O)(=O)c1ccc(CCNC(=S)S)cc1,6
NS(=O)(=O)c1ccc(CCN([*:1])[*:2])cc1,[*:1].c1coc(C[*:2])c1,CHEMBL4637381,CHEMBL261,NS(=O)(=O)c1ccc(CCNCc2ccco2)cc1,6
NS(=O)(=O)c1ccc(CCN([*:1])[*:2])cc1,C#CC[*:1].C#CC[*:2],CHEMBL4566851,CHEMBL261,C#CCN(CC#C)CCc1ccc(S(N)(=O)=O)cc1,6
COc1c2c(c3ccc(=O)oc3c1[*:1])OC(C)(C)C=C2,[*:1],CHEMBL479462,CHEMBL261,COc1cc2oc(=O)ccc2c2c1C=CC(C)(C)O2,7
