core,substituents,cid,tid,smiles,analogue_series_id
c1ccc(CN2CCC(Nc3nccc(N[*:1])n3)CC2)cc1,Brc1ccc(C[*:1])cc1,CHEMBL2047226,CHEMBL220,Brc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,0
c1ccc(CN2CCC(Nc3nccc(N[*:1])n3)CC2)cc1,COc1ccc(C[*:1])cc1,CHEMBL2047229,CHEMBL220,COc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,0
c1ccc(CN2CCC(Nc3nccc(N[*:1])n3)CC2)cc1,Clc1ccc(C[*:1])cc1,CHEMBL2047225,CHEMBL220,Clc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,0
c1ccc(CN2CCC(Nc3nccc(N[*:1])n3)CC2)cc1,Clc1ccccc1C[*:1],CHEMBL2047223,CHEMBL220,Clc1ccccc1CNc1ccnc(NC2CCN(Cc3ccccc3)CC2)n1,0
c1ccc(CN2CCC(Nc3nccc(N[*:1])n3)CC2)cc1,Clc1cccc(C[*:1])c1,CHEMBL2047224,CHEMBL220,Clc1cccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)c1,0
c1ccc(CN2CCC(Nc3nccc(N[*:1])n3)CC2)cc1,Fc1ccc(C[*:1])cc1,CHEMBL2047227,CHEMBL220,Fc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,0
Clc1ccc2c(N[*:1])c3c(nc2c1)CCCC3,C#CC[*:1],CHEMBL4632951,CHEMBL220,C#CCNc1c2c(nc3cc(Cl)ccc13)CCCC2,1
Clc1ccc2c(N[*:1])c3c(nc2c1)CCCC3,c1ccc(C[*:1])nc1,CHEMBL4075061,CHEMBL220,Clc1ccc2c(NCc3ccccn3)c3c(nc2c1)CCCC3,1
Clc1ccc2c(N[*:1])c3c(nc2c1)CCCC3,NCCC[*:1],CHEMBL191758,CHEMBL220,NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,1
O=C(CN[*:1])Nc1ccc2nc3n(c(=O)c2c1)CCC3,C#CC[*:1],CHEMBL4212275,CHEMBL220,C#CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,2
