smiles,cid_tid_smiles
C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2ccc(C)cc2c1=O,CHEMBL3337908&CHEMBL261&C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2ccc(C)cc2c1=O
C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2ccc([N+](=O)[O-])cc2c1=O,CHEMBL3337913&CHEMBL261&C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2ccc([N+](=O)[O-])cc2c1=O
C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2cccc(C)c2c1=O,CHEMBL3337907&CHEMBL261&C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2cccc(C)c2c1=O
C=Cc1ccc(C[n+]2ccn(CCCCCCCCCC)c2C)cc1,CHEMBL5193557&CHEMBL261&C=Cc1ccc(C[n+]2ccn(CCCCCCCCCC)c2C)cc1
C=Cc1ccc(C[n+]2ccn(Cc3ccccc3)c2C)cc1,CHEMBL5207182&CHEMBL261&C=Cc1ccc(C[n+]2ccn(Cc3ccccc3)c2C)cc1
C=Cc1ccc(C[n+]2cn(Cc3c(C)c(C)cc(C)c3C)c3ccccc32)cc1,CHEMBL5176804&CHEMBL261&C=Cc1ccc(C[n+]2cn(Cc3c(C)c(C)cc(C)c3C)c3ccccc32)cc1
CC(=CCOc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,CHEMBL56918&CHEMBL261&CC(=CCOc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1
CC(=CCOc1ccc2ccc(=O)oc2c1)CCC(=O)C(C)(C)O,CHEMBL2003049&CHEMBL261&CC(=CCOc1ccc2ccc(=O)oc2c1)CCC(=O)C(C)(C)O
CC(=CCc1cc2ccc(=O)oc2cc1O)CO,CHEMBL2334353&CHEMBL261&CC(=CCc1cc2ccc(=O)oc2cc1O)CO
CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccc(C)cc1,CHEMBL235700&CHEMBL261&CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccc(C)cc1
CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccc([N+](=O)[O-])cc1,CHEMBL235502&CHEMBL261&CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccc([N+](=O)[O-])cc1
CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccccc1,CHEMBL235692&CHEMBL261&CC(=NNC(=O)Nc1n[nH]c(=S)s1)c1ccccc1
CC(=NNC(=O)c1ccc(Cl)cc1)C(=NNc1ccc(S(N)(=O)=O)cc1)N1CCCCC1,CHEMBL3098522&CHEMBL261&CC(=NNC(=O)c1ccc(Cl)cc1)C(=NNc1ccc(S(N)(=O)=O)cc1)N1CCCCC1
CC(=NNC(=O)c1ccc(Cl)cc1)C(Cl)=NNc1ccc(S(N)(=O)=O)cc1,CHEMBL3098535&CHEMBL261&CC(=NNC(=O)c1ccc(Cl)cc1)C(Cl)=NNc1ccc(S(N)(=O)=O)cc1
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2cc(Br)ccc2oc1=O,CHEMBL4764288&CHEMBL261&CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2cc(Br)ccc2oc1=O
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2ccccc2oc1=O,CHEMBL4756105&CHEMBL261&CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1cc2ccccc2oc1=O
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(Br)cc1,CHEMBL4854779&CHEMBL261&CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(Br)cc1
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(Cl)cc1,CHEMBL4848298&CHEMBL261&CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(Cl)cc1
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(F)cc1,CHEMBL4863150&CHEMBL261&CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccc(F)cc1
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccccc1,CHEMBL4864894&CHEMBL261&CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1ccccc1
CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C,CHEMBL4789539&CHEMBL261&CC(=NNC(=O)c1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C
CC(=NNC(=O)c1ccccc1)C(=NNc1ccc(S(N)(=O)=O)cc1)N1CCCCC1,CHEMBL3098521&CHEMBL261&CC(=NNC(=O)c1ccccc1)C(=NNc1ccc(S(N)(=O)=O)cc1)N1CCCCC1
CC(=NNC(=O)c1ccccc1)C(Cl)=NNc1ccc(S(N)(=O)=O)cc1,CHEMBL3098534&CHEMBL261&CC(=NNC(=O)c1ccccc1)C(Cl)=NNc1ccc(S(N)(=O)=O)cc1
CC(=NNC(=O)c1cccs1)C(=NNc1ccc(S(N)(=O)=O)cc1)N1CCCCC1,CHEMBL3098524&CHEMBL261&CC(=NNC(=O)c1cccs1)C(=NNc1ccc(S(N)(=O)=O)cc1)N1CCCCC1
CC(=NNC(=O)c1cccs1)C(Cl)=NNc1ccc(S(N)(=O)=O)cc1,CHEMBL3098520&CHEMBL261&CC(=NNC(=O)c1cccs1)C(Cl)=NNc1ccc(S(N)(=O)=O)cc1
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccc(N2CCOCC2)cc1,CHEMBL4578451&CHEMBL261&CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccc(N2CCOCC2)cc1
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1,CHEMBL4520887&CHEMBL261&CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccccc1
CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccncc1,CHEMBL4561594&CHEMBL261&CC(=NNC(=O)c1nc(N)n(-c2ccc(S(N)(=O)=O)cc2)n1)c1ccncc1
CC(=NNC(N)=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,CHEMBL4795119&CHEMBL261&CC(=NNC(N)=O)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C
CC(=NNC(N)=S)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,CHEMBL4791577&CHEMBL261&CC(=NNC(N)=S)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2cc(Br)ccc2oc1=O,CHEMBL3805919&CHEMBL261&CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2cc(Br)ccc2oc1=O
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2cc(Cl)ccc2oc1=O,CHEMBL3805906&CHEMBL261&CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2cc(Cl)ccc2oc1=O
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2ccccc2oc1=O,CHEMBL3805222&CHEMBL261&CC(=NNc1ccc(S(N)(=O)=O)cc1)c1cc2ccccc2oc1=O
CC(=NNc1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C,CHEMBL4750565&CHEMBL261&CC(=NNc1ccc(S(N)(=O)=O)cc1)c1sc2nc3ccccc3n2c1C
CC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(C(=O)O)cc2)c1C,CHEMBL4797489&CHEMBL261&CC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(C(=O)O)cc2)c1C
CC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C,CHEMBL4780406&CHEMBL261&CC(=NNc1nc(-c2ccc(Cl)cc2)cs1)c1nnn(-c2ccc(S(N)(=O)=O)cc2)c1C
CC(=NO)c1ccc(-c2ccc(O)c(F)c2)c(Cl)c1O,CHEMBL479836&CHEMBL261&CC(=NO)c1ccc(-c2ccc(O)c(F)c2)c(Cl)c1O
CC(=NO)c1ccc(-c2ccc(O)cc2)c(Cl)c1O,CHEMBL479638&CHEMBL261&CC(=NO)c1ccc(-c2ccc(O)cc2)c(Cl)c1O
CC(=NO)c1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1,CHEMBL5199772&CHEMBL261&CC(=NO)c1ccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)cc1
CC(=O)C(=Cc1ccc(Cl)cc1)C(=O)Nc1ccc(S(N)(=O)=O)cc1,CHEMBL4458973&CHEMBL261&CC(=O)C(=Cc1ccc(Cl)cc1)C(=O)Nc1ccc(S(N)(=O)=O)cc1
CC(=O)C(=Cc1ccc(F)cc1Cl)C(=O)Nc1ccc(S(N)(=O)=O)cc1,CHEMBL4451455&CHEMBL261&CC(=O)C(=Cc1ccc(F)cc1Cl)C(=O)Nc1ccc(S(N)(=O)=O)cc1
