smiles,cid_tid_smiles
Brc1ccc(-n2cc(COc3ccc(C=NNc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1,CHEMBL4526428&CHEMBL1914&Brc1ccc(-n2cc(COc3ccc(C=NNc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1
Brc1ccc(C=NC2CCN(Cc3ccccc3)C2)cc1,CHEMBL4794000&CHEMBL1914&Brc1ccc(C=NC2CCN(Cc3ccccc3)C2)cc1
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,CHEMBL4741398&CHEMBL1914&Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1
Brc1ccc2c(c1)c(OCc1ccc3ccccc3c1)nn2CCN1CCCCC1,CHEMBL3116301&CHEMBL1914&Brc1ccc2c(c1)c(OCc1ccc3ccccc3c1)nn2CCN1CCCCC1
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,CHEMBL1929421&CHEMBL1914&C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C
C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,CHEMBL4173258&CHEMBL1914&C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C
C#CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1,CHEMBL4075667&CHEMBL1914&C#CCN(CCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1
C#CCN1CCC(CCc2cccc(OC(=O)N(C)CC)c2)CC1,CHEMBL5218952&CHEMBL1914&C#CCN1CCC(CCc2cccc(OC(=O)N(C)CC)c2)CC1
C#CCN1CCC(CCc2cccc(OC(=O)Nc3ccccc3)c2)CC1,CHEMBL5220219&CHEMBL1914&C#CCN1CCC(CCc2cccc(OC(=O)Nc3ccccc3)c2)CC1
C#CCN1CCC(CN(CCCOC)C(=O)c2ccc3ccccc3c2)CC1,CHEMBL3972913&CHEMBL1914&C#CCN1CCC(CN(CCCOC)C(=O)c2ccc3ccccc3c2)CC1
C#CCN1CCC(CN(CCCOC)S(=O)(=O)c2ccc3ccccc3c2)CC1,CHEMBL3918754&CHEMBL1914&C#CCN1CCC(CN(CCCOC)S(=O)(=O)c2ccc3ccccc3c2)CC1
C#CCN1CCC(CN(CCOC)C(=O)c2ccc3ccccc3c2)CC1,CHEMBL3952086&CHEMBL1914&C#CCN1CCC(CN(CCOC)C(=O)c2ccc3ccccc3c2)CC1
C#CCN1CCC(CN(CCOC)S(=O)(=O)c2ccc3ccccc3c2)CC1,CHEMBL3960783&CHEMBL1914&C#CCN1CCC(CN(CCOC)S(=O)(=O)c2ccc3ccccc3c2)CC1
C#CCN1CCC(CNS(=O)(=O)c2ccc3ccccc3c2)CC1,CHEMBL3891772&CHEMBL1914&C#CCN1CCC(CNS(=O)(=O)c2ccc3ccccc3c2)CC1
C#CCN1CCCC(CN(CCCOC)C(=O)c2ccc3ccccc3c2)C1,CHEMBL3924905&CHEMBL1914&C#CCN1CCCC(CN(CCCOC)C(=O)c2ccc3ccccc3c2)C1
C#CCN1CCCC(CN(CCCOC)S(=O)(=O)c2ccc3ccccc3c2)C1,CHEMBL3971906&CHEMBL1914&C#CCN1CCCC(CN(CCCOC)S(=O)(=O)c2ccc3ccccc3c2)C1
C#CCN1CCCC(CN(CCOC)C(=O)c2ccc3ccccc3c2)C1,CHEMBL3964515&CHEMBL1914&C#CCN1CCCC(CN(CCOC)C(=O)c2ccc3ccccc3c2)C1
C#CCN1CCCC(CN(CCOC)S(=O)(=O)c2ccc3ccccc3c2)C1,CHEMBL3900751&CHEMBL1914&C#CCN1CCCC(CN(CCOC)S(=O)(=O)c2ccc3ccccc3c2)C1
C#CCN1CCCC(CNS(=O)(=O)c2ccc3ccccc3c2)C1,CHEMBL3943366&CHEMBL1914&C#CCN1CCCC(CNS(=O)(=O)c2ccc3ccccc3c2)C1
C#CCNC1CCc2c(OC(=O)N(C)CC)cccc21,CHEMBL1193656_CHEMBL545103&CHEMBL1914&C#CCNC1CCc2c(OC(=O)N(C)CC)cccc21
C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc21,CHEMBL1788299_CHEMBL2093014_CHEMBL255231_CHEMBL5219232_CHEMBL544636&CHEMBL1914&C#CCNC1CCc2ccc(OC(=O)N(C)CC)cc21
C#CCNC1CCc2ccccc21,CHEMBL1201142_CHEMBL1235738_CHEMBL887&CHEMBL1914&C#CCNC1CCc2ccccc21
C#CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,CHEMBL4212275&CHEMBL1914&C#CCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3
C#CCOc1ccc(-c2cc(-c3ccc(OCCN4CCOCC4)cc3)nc(N)n2)cc1,CHEMBL4790416&CHEMBL1914&C#CCOc1ccc(-c2cc(-c3ccc(OCCN4CCOCC4)cc3)nc(N)n2)cc1
C#CCOc1ccc(C=NNc2c3c(nc4ccccc24)CCCC3)cc1,CHEMBL4542112&CHEMBL1914&C#CCOc1ccc(C=NNc2c3c(nc4ccccc24)CCCC3)cc1
C(=CC[n+]1cccc2ccccc21)C[n+]1cccc2ccccc21,CHEMBL1761998_CHEMBL1761999&CHEMBL1914&C(=CC[n+]1cccc2ccccc21)C[n+]1cccc2ccccc21
C(=NC1CCN(Cc2ccccc2)C1)c1ccccc1,CHEMBL4796307&CHEMBL1914&C(=NC1CCN(Cc2ccccc2)C1)c1ccccc1
C(=NNc1c2c(nc3ccccc13)CCCC2)c1ccc(OCc2cn(-c3ccccc3)nn2)cc1,CHEMBL4445026&CHEMBL1914&C(=NNc1c2c(nc3ccccc13)CCCC2)c1ccc(OCc2cn(-c3ccccc3)nn2)cc1
C(=NNc1c2c(nc3ccccc13)CCCC2)c1ccc(OCc2cn(Cc3ccccc3)nn2)cc1,CHEMBL4466829&CHEMBL1914&C(=NNc1c2c(nc3ccccc13)CCCC2)c1ccc(OCc2cn(Cc3ccccc3)nn2)cc1
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,CHEMBL1294_CHEMBL170_CHEMBL3707183&CHEMBL1914&C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12
C=CCC1C(O)C(OCc2ccccc2)C(O)CN1CCCCCCCC,CHEMBL3393674&CHEMBL1914&C=CCC1C(O)C(OCc2ccccc2)C(O)CN1CCCCCCCC
C=CCCCNc1c2c(nc3ccc(OC)cc13)CCCC2,CHEMBL1917825&CHEMBL1914&C=CCCCNc1c2c(nc3ccc(OC)cc13)CCCC2
C=CCCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3,CHEMBL4217666&CHEMBL1914&C=CCCNCC(=O)Nc1ccc2nc3n(c(=O)c2c1)CCC3
