core,substituents,cid,tid,smiles,analogue_series_id
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,C#CCCC[*:1].[*:2].[*:3].[*:4],CHEMBL3121782,CHEMBL3594,C#CCCCOc1ccc2ccc(=O)oc2c1,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,C#CC[*:1].[*:2].[*:3].[*:4],CHEMBL308819,CHEMBL3594,C#CCOc1ccc2ccc(=O)oc2c1,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,C=CC[*:1].[*:2].[*:3].[*:4],CHEMBL432745,CHEMBL3594,C=CCOc1ccc2ccc(=O)oc2c1,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CC(=O)[*:1].[*:2].[*:3].[*:4],CHEMBL487711,CHEMBL3594,CC(=O)Oc1ccc2ccc(=O)oc2c1,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CCCC[*:1].[*:2].[*:3].[*:4],CHEMBL571514,CHEMBL3594,CCCCOc1ccc2ccc(=O)oc2c1,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CCC[*:1].[*:2].[*:3].[*:4],CHEMBL568516,CHEMBL3594,CCCOc1ccc2ccc(=O)oc2c1,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CC[*:1].[*:2].[*:3].[*:4],CHEMBL191528,CHEMBL3594,CCOc1ccc2ccc(=O)oc2c1,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,C[*:1].[*:2].[*:3].[*:4],CHEMBL49732,CHEMBL3594,COc1ccc2ccc(=O)oc2c1,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,FCC[*:1].[*:2].[*:3].[*:4],CHEMBL1957186,CHEMBL3594,O=c1ccc2ccc(OCCF)cc2o1,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,OCC[*:1].[*:2].[*:3].[*:4],CHEMBL1957184,CHEMBL3594,O=c1ccc2ccc(OCCO)cc2o1,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CC(=CC[*:2])CO.[*:1].[*:3].[*:4],CHEMBL2334353,CHEMBL3594,CC(=CCc1cc2ccc(=O)oc2cc1O)CO,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CC(=O)[*:2].[*:1].[*:3].[*:4],CHEMBL1288534,CHEMBL3594,CC(=O)c1cc2ccc(=O)oc2cc1O,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CCC(=O)[*:2].[*:1].[*:3].[*:4],CHEMBL1288535,CHEMBL3594,CCC(=O)c1cc2ccc(=O)oc2cc1O,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CC(=O)[*:4].[*:1].[*:2].[*:3],CHEMBL446518,CHEMBL3594,CC(=O)c1c(O)ccc2ccc(=O)oc12,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CCC(=O)[*:4].[*:1].[*:2].[*:3],CHEMBL1288557,CHEMBL3594,CCC(=O)c1c(O)ccc2ccc(=O)oc12,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,c1ccc([*:3])cc1.[*:1].[*:2].[*:4],CHEMBL325841,CHEMBL3594,O=c1cc(-c2ccccc2)c2ccc(O)cc2o1,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CCC(=O)[*:4].C[*:1].[*:2].[*:3],CHEMBL1288621,CHEMBL3594,CCC(=O)c1c(OC)ccc2ccc(=O)oc12,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CC(=O)[*:4].CCC[*:1].[*:2].[*:3],CHEMBL1288596,CHEMBL3594,CCCOc1ccc2ccc(=O)oc2c1C(C)=O,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CC(=O)[*:4].CC[*:1].[*:2].[*:3],CHEMBL1288595,CHEMBL3594,CCOc1ccc2ccc(=O)oc2c1C(C)=O,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CCC(=O)[*:4].CC[*:1].[*:2].[*:3],CHEMBL1288622,CHEMBL3594,CCOc1ccc2ccc(=O)oc2c1C(=O)CC,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CC(=O)[*:4].C[*:1].[*:2].[*:3],CHEMBL1288594,CHEMBL3594,COc1ccc2ccc(=O)oc2c1C(C)=O,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CC(=O)[*:2].CCC[*:1].[*:3].[*:4],CHEMBL1288560,CHEMBL3594,CCCOc1cc2oc(=O)ccc2cc1C(C)=O,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CC(=O)[*:2].CC[*:1].[*:3].[*:4],CHEMBL1288559,CHEMBL3594,CCOc1cc2oc(=O)ccc2cc1C(C)=O,0
O=c1cc([*:3])c2cc([*:2])c(O[*:1])c([*:4])c2o1,CC(=O)[*:2].C[*:1].[*:3].[*:4],CHEMBL1288558,CHEMBL3594,COc1cc2oc(=O)ccc2cc1C(C)=O,0
c1ccc(-n2cc(-c3nc4ccccc4[nH]3)c([*:1])n2)cc1,Brc1ccc([*:1])cc1,CHEMBL3809848,CHEMBL3594,Brc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1,1
c1ccc(-n2cc(-c3nc4ccccc4[nH]3)c([*:1])n2)cc1,COc1ccc([*:1])cc1,CHEMBL3613544,CHEMBL3594,COc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1,1
c1ccc(-n2cc(-c3nc4ccccc4[nH]3)c([*:1])n2)cc1,Cc1ccc([*:1])cc1,CHEMBL3809267,CHEMBL3594,Cc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1,1
c1ccc(-n2cc(-c3nc4ccccc4[nH]3)c([*:1])n2)cc1,Clc1ccc([*:1])cc1,CHEMBL3613534,CHEMBL3594,Clc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1,1
c1ccc(-n2cc(-c3nc4ccccc4[nH]3)c([*:1])n2)cc1,Fc1ccc([*:1])cc1,CHEMBL3613524,CHEMBL3594,Fc1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1,1
c1ccc(-n2cc(-c3nc4ccccc4[nH]3)c([*:1])n2)cc1,c1ccc([*:1])cc1,CHEMBL3613514,CHEMBL3594,c1ccc(-c2nn(-c3ccccc3)cc2-c2nc3ccccc3[nH]2)cc1,1
O=C1c2ccccc2S(=O)(=O)N1[*:1],[*:1],CHEMBL310671,CHEMBL3594,O=C1NS(=O)(=O)c2ccccc21,2
