smiles,cid_tid_smiles
Brc1ccc(-c2nnc3sc(-c4ccoc4)nn23)cc1,CHEMBL2375482&CHEMBL220&Brc1ccc(-c2nnc3sc(-c4ccoc4)nn23)cc1
Brc1ccc(C=C2CNCC3=C2N=C2SC=C(c4ccc5ccccc5c4)N2C3c2ccc(Br)cc2)cc1,CHEMBL3948489&CHEMBL220&Brc1ccc(C=C2CNCC3=C2N=C2SC=C(c4ccc5ccccc5c4)N2C3c2ccc(Br)cc2)cc1
Brc1ccc(C=C2CNCC3=C2N=C2SC=C(c4ccccc4)N2C3c2ccc(Br)cc2)cc1,CHEMBL3958208&CHEMBL220&Brc1ccc(C=C2CNCC3=C2N=C2SC=C(c4ccccc4)N2C3c2ccc(Br)cc2)cc1
Brc1ccc(C=NC2CCN(Cc3ccccc3)C2)cc1,CHEMBL4794000&CHEMBL220&Brc1ccc(C=NC2CCN(Cc3ccccc3)C2)cc1
Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,CHEMBL4741398&CHEMBL220&Brc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1
Brc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1,CHEMBL2047226&CHEMBL220&Brc1ccc(CNc2ccnc(NC3CCN(Cc4ccccc4)CC3)n2)cc1
Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1,CHEMBL330004&CHEMBL220&Brc1ccc2c(CCC3CCN(Cc4ccccc4)CC3)noc2c1
Brc1cccc(-c2nnc3sc(-c4ccoc4)nn23)c1,CHEMBL2375483&CHEMBL220&Brc1cccc(-c2nnc3sc(-c4ccoc4)nn23)c1
C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,CHEMBL356385&CHEMBL220&C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1
C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21,CHEMBL1190983_CHEMBL542016&CHEMBL220&C#CCN(C)C1CCc2c(OC(=O)N(C)CC)cccc21
C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,CHEMBL1929421&CHEMBL220&C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C
C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,CHEMBL4173258&CHEMBL220&C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C
