core,substituents,cid,tid,smiles,analogue_series_id
c1ccc2c(Cc3nnc4ncc([*:1])nn34)c[nH]c2c1,Brc1ccc([*:1])cc1,CHEMBL3799231,CHEMBL3717,Brc1ccc(-c2cnc3nnc(Cc4c[nH]c5ccccc45)n3n2)cc1,0
c1ccc2c(Cc3nnc4ncc([*:1])nn34)c[nH]c2c1,Oc1cccc([*:1])c1,CHEMBL3798974,CHEMBL3717,Oc1cccc(-c2cnc3nnc(Cc4c[nH]c5ccccc45)n3n2)c1,0
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,Brc1ccc([*:1])cc1,CHEMBL3798130,CHEMBL3717,Brc1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,CCCn1cc([*:1])cn1,CHEMBL3800295,CHEMBL3717,CCCn1cc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cn1,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,CCn1cc([*:1])cn1,CHEMBL3799924,CHEMBL3717,CCn1cc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cn1,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,COc1cccc([*:1])c1,CHEMBL3800559,CHEMBL3717,COc1cccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)c1,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,Clc1ccc([*:1])cc1,CHEMBL3797307,CHEMBL3717,Clc1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,Clc1ccc([*:1])cc1Cl,CHEMBL3800427,CHEMBL3717,Clc1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1Cl,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,Cn1cc([*:1])cn1,CHEMBL3797914,CHEMBL3717,Cn1cc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cn1,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,Fc1ccc([*:1])cc1,CHEMBL2170967,CHEMBL3717,Fc1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,O=[N+]([O-])c1cccc([*:1])c1,CHEMBL3798623,CHEMBL3717,O=[N+]([O-])c1cccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)c1,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,Oc1cccc([*:1])c1,CHEMBL3800471,CHEMBL3717,Oc1cccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)c1,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,c1ccc([*:1])cc1,CHEMBL3799192,CHEMBL3717,c1ccc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)cc1,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,c1ccc2ncc([*:1])cc2c1,CHEMBL3798174,CHEMBL3717,c1cnc2ccc(Cc3nnc4ncc(-c5cnc6ccccc6c5)nn34)cc2c1,1
c1cnc2ccc(Cc3nnc4ncc([*:1])nn34)cc2c1,c1csc([*:1])c1,CHEMBL3797547,CHEMBL3717,c1csc(-c2cnc3nnc(Cc4ccc5ncccc5c4)n3n2)c1,1
c1ccc2c(Nc3ccc4nc([*:1])[nH]c4c3)ncnc2c1,Brc1ccc([*:1])cc1,CHEMBL3321905,CHEMBL3717,Brc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,2
c1ccc2c(Nc3ccc4nc([*:1])[nH]c4c3)ncnc2c1,CCc1ccc([*:1])cc1,CHEMBL3321898,CHEMBL3717,CCc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,2
c1ccc2c(Nc3ccc4nc([*:1])[nH]c4c3)ncnc2c1,Cc1ccc([*:1])cc1,CHEMBL3321895,CHEMBL3717,Cc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,2
c1ccc2c(Nc3ccc4nc([*:1])[nH]c4c3)ncnc2c1,Cc1cccc([*:1])c1,CHEMBL3321894,CHEMBL3717,Cc1cccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)c1,2
c1ccc2c(Nc3ccc4nc([*:1])[nH]c4c3)ncnc2c1,Clc1cc(Cl)cc([*:1])c1,CHEMBL3321911,CHEMBL3717,Clc1cc(Cl)cc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)c1,2
c1ccc2c(Nc3ccc4nc([*:1])[nH]c4c3)ncnc2c1,Clc1ccc([*:1])cc1Cl,CHEMBL3321910,CHEMBL3717,Clc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1Cl,2
c1ccc2c(Nc3ccc4nc([*:1])[nH]c4c3)ncnc2c1,Clc1cccc([*:1])c1,CHEMBL3321903,CHEMBL3717,Clc1cccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)c1,2
c1ccc2c(Nc3ccc4nc([*:1])[nH]c4c3)ncnc2c1,Clc1ccc([*:1])cc1,CHEMBL3321904,CHEMBL3717,Clc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,2
c1ccc2c(Nc3ccc4nc([*:1])[nH]c4c3)ncnc2c1,Fc1ccc([*:1])cc1,CHEMBL3321901,CHEMBL3717,Fc1ccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)cc1,2
c1ccc2c(Nc3ccc4nc([*:1])[nH]c4c3)ncnc2c1,Fc1ccc(Br)c([*:1])c1,CHEMBL3321912,CHEMBL3717,Fc1ccc(Br)c(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)c1,2
c1ccc2c(Nc3ccc4nc([*:1])[nH]c4c3)ncnc2c1,Fc1cccc([*:1])c1,CHEMBL3321900,CHEMBL3717,Fc1cccc(-c2nc3ccc(Nc4ncnc5ccccc45)cc3[nH]2)c1,2
