smiles,cid_tid_smiles
C#CCN(CC#N)C(=O)C1CC(C(=O)N(C)C)C(C)N1,CHEMBL260701&CHEMBL284&C#CCN(CC#N)C(=O)C1CC(C(=O)N(C)C)C(C)N1
C#Cc1cnc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O,CHEMBL1650422&CHEMBL284&C#Cc1cnc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O
C=C(C)CC1CNC(C(=O)N2CCCC2C#N)C1,CHEMBL437570&CHEMBL284&C=C(C)CC1CNC(C(=O)N2CCCC2C#N)C1
C=CC(C)(C)C(N)C(=O)N1C(C#N)CC2CC21,CHEMBL3350930&CHEMBL284&C=CC(C)(C)C(N)C(=O)N1C(C#N)CC2CC21
C=CC(CC)(CC)C(N)C(=O)N1C(C#N)CC2CC21,CHEMBL3350922&CHEMBL284&C=CC(CC)(CC)C(N)C(=O)N1C(C#N)CC2CC21
C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCC1,CHEMBL3350923&CHEMBL284&C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCC1
C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCCC1,CHEMBL3350932&CHEMBL284&C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCCC1
C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCCCC1,CHEMBL3350934&CHEMBL284&C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCCCC1
C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCCCCC1,CHEMBL3350927&CHEMBL284&C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCCCCC1
C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCOCC1,CHEMBL3350928&CHEMBL284&C=CC1(C(N)C(=O)N2C(C#N)CC3CC32)CCOCC1
C=CC1CCC(C(=O)N2CCCC2C#N)N1,CHEMBL209518_CHEMBL210485&CHEMBL284&C=CC1CCC(C(=O)N2CCCC2C#N)N1
C=CCC1CNC(C(=O)N2CCCC2C#N)C1,CHEMBL245069&CHEMBL284&C=CCC1CNC(C(=O)N2CCCC2C#N)C1
C=CCN(CC#N)C(=O)C(N)C(C)(C)C,CHEMBL206184&CHEMBL284&C=CCN(CC#N)C(=O)C(N)C(C)(C)C
C=CCN(CC#N)C(=O)C(N)C12CC3CC(CC(C3)C1)C2,CHEMBL206077&CHEMBL284&C=CCN(CC#N)C(=O)C(N)C12CC3CC(CC(C3)C1)C2
C=CCN(CC#N)C(=O)C1CC(C(=O)N(C)C)C(C)N1,CHEMBL261462&CHEMBL284&C=CCN(CC#N)C(=O)C1CC(C(=O)N(C)C)C(C)N1
C=COC(=O)C1CCCN1C(=O)C(CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,CHEMBL5220594&CHEMBL284&C=COC(=O)C1CCCN1C(=O)C(CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C
C=COC(=O)C1CCCN1C(=O)C(N)CCCCN,CHEMBL5220657&CHEMBL284&C=COC(=O)C1CCCN1C(=O)C(N)CCCCN
C=COC(=O)C1CCCN1C(=O)CN,CHEMBL5219299&CHEMBL284&C=COC(=O)C1CCCN1C(=O)CN
C=COC(=O)C1CCCN1C(=O)CNC(=O)OC(C)(C)C,CHEMBL5220053&CHEMBL284&C=COC(=O)C1CCCN1C(=O)CNC(=O)OC(C)(C)C
C=Cc1cnc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O,CHEMBL1650426&CHEMBL284&C=Cc1cnc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O
CC#CC#Cc1ccc(C#CC(O)CO)s1,CHEMBL3343899&CHEMBL284&CC#CC#Cc1ccc(C#CC(O)CO)s1
CC#CCN1C(N2CCCC(N)C2)=NC2C1C(=O)N(C(C)c1nc(C)c3ccccc3n1)C(=O)N2C,CHEMBL4649180&CHEMBL284&CC#CCN1C(N2CCCC(N)C2)=NC2C1C(=O)N(C(C)c1nc(C)c3ccccc3n1)C(=O)N2C
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2c1c(=O)n(CC(=O)c1cccc(OC)c1)c(=O)n2C,CHEMBL1951603&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)c(C#N)c2c1c(=O)n(CC(=O)c1cccc(OC)c1)c(=O)n2C
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C,CHEMBL1951604&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)c(C#N)c2c1c(=O)n(Cc1nccc3ccccc13)c(=O)n2C
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21,CHEMBL1951425_CHEMBL1951426&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn(CC(=O)c3cccc(OC)c3)c(=O)c21
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn(Cc3ccnc4ccccc34)c(=O)c21,CHEMBL1951427&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn(Cc3ccnc4ccccc34)c(=O)c21
CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn(Cc3nccc4ccccc34)c(=O)c21,CHEMBL1951428&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)c(C#N)c2ncn(Cc3nccc4ccccc34)c(=O)c21
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(C)c1=O,CHEMBL2424672&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(C)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(CC#CC)c1=O,CHEMBL2425882&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(CC#CC)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(Br)cc(C(=O)O)c2)c1=O,CHEMBL4860737&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(Br)cc(C(=O)O)c2)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(Br)cc(C(=O)OC)c2)c1=O,CHEMBL4863369&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(Br)cc(C(=O)OC)c2)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)O)ccc2Br)c1=O,CHEMBL4873862&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)O)ccc2Br)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)O)ccc2F)c1=O,CHEMBL4857729&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)O)ccc2F)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)OC)ccc2Br)c1=O,CHEMBL4856255&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)OC)ccc2Br)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)OC)ccc2F)c1=O,CHEMBL4876894&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(C(=O)OC)ccc2F)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(Cl)c3ccccc3n2)c1=O,CHEMBL2425895&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2cc(Cl)c3ccccc3n2)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Br)c(C(=O)O)c2)c1=O,CHEMBL4856337&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Br)c(C(=O)O)c2)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Br)c(C(=O)OC)c2)c1=O,CHEMBL4851477&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Br)c(C(=O)OC)c2)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(C(=O)OC)cc2)c1=O,CHEMBL4862579&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(C(=O)OC)cc2)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Cl)c(C(=O)O)c2)c1=O,CHEMBL4865204&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Cl)c(C(=O)O)c2)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Cl)c(C(=O)OC)c2)c1=O,CHEMBL4845890&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(Cl)c(C(=O)OC)c2)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(F)c(C(=O)O)c2)c1=O,CHEMBL4863102&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(F)c(C(=O)O)c2)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(F)c(C(=O)OC)c2)c1=O,CHEMBL4846335&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc(F)c(C(=O)OC)c2)c1=O
CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3c(ccc4ccccc43)n2)c1=O,CHEMBL2425887&CHEMBL284&CC#CCn1c(N2CCCC(N)C2)cc(=O)n(Cc2ccc3c(ccc4ccccc43)n2)c1=O
