core,substituents,cid,tid,smiles,analogue_series_id
C#CCN1CCC(CN(S(=O)(=O)c2ccc3ccccc3c2)[*:1])CC1,[*:1],CHEMBL3891772,CHEMBL1914,C#CCN1CCC(CNS(=O)(=O)c2ccc3ccccc3c2)CC1,0
C#CCN1CCC(CN(S(=O)(=O)c2ccc3ccccc3c2)[*:1])CC1,COCCC[*:1],CHEMBL3918754,CHEMBL1914,C#CCN1CCC(CN(CCCOC)S(=O)(=O)c2ccc3ccccc3c2)CC1,0
C#CCN1CCC(CN(S(=O)(=O)c2ccc3ccccc3c2)[*:1])CC1,COCC[*:1],CHEMBL3960783,CHEMBL1914,C#CCN1CCC(CN(CCOC)S(=O)(=O)c2ccc3ccccc3c2)CC1,0
C#CCN1CCC(CCc2cccc(OC(=O)[*:1])c2)CC1,CCN(C)[*:1],CHEMBL5218952,CHEMBL1914,C#CCN1CCC(CCc2cccc(OC(=O)N(C)CC)c2)CC1,1
C#CCN1CCC(CCc2cccc(OC(=O)[*:1])c2)CC1,c1ccc(N[*:1])cc1,CHEMBL5220219,CHEMBL1914,C#CCN1CCC(CCc2cccc(OC(=O)Nc3ccccc3)c2)CC1,1
COCCN(CC1CCN([*:1])CC1)C(=O)c1ccc2ccccc2c1,C#CC[*:1],CHEMBL3952086,CHEMBL1914,C#CCN1CCC(CN(CCOC)C(=O)c2ccc3ccccc3c2)CC1,2
COCCN(CC1CCN([*:1])CC1)C(=O)c1ccc2ccccc2c1,c1ccc(C[*:1])cc1,CHEMBL4077386,CHEMBL1914,COCCN(CC1CCN(Cc2ccccc2)CC1)C(=O)c1ccc2ccccc2c1,2
O=C(c1ccc2ccccc2c1)N(CC[*:1])CC1CCCN([*:2])C1,C#CC[*:2].CO[*:1],CHEMBL3964515,CHEMBL1914,C#CCN1CCCC(CN(CCOC)C(=O)c2ccc3ccccc3c2)C1,3
O=C(c1ccc2ccccc2c1)N(CC[*:1])CC1CCCN([*:2])C1,CN[*:1].c1ccc2c(c1)CC([*:2])C2,CHEMBL4068039,CHEMBL1914,CNCCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1ccc2ccccc2c1,3
O=C(c1ccc2ccccc2c1)N(CC[*:1])CC1CCCN([*:2])C1,CO[*:1].c1ccc2c(c1)CC([*:2])C2,CHEMBL3338391_CHEMBL3338394_CHEMBL3338395,CHEMBL1914,COCCN(CC1CCCN(C2Cc3ccccc3C2)C1)C(=O)c1ccc2ccccc2c1,3
