target,GAT_acc_mean,GAT_acc_std,GAT_auroc_mean,GAT_auroc_std,GAT_rg_acc_mean,GAT_rg_acc_std,GAT_rg_auroc_mean,GAT_rg_auroc_std,PPGAT_acc_mean,PPGAT_acc_std,PPGAT_auroc_mean,PPGAT_auroc_std
P08581,0.9087055032714282,0.029846829260149886,0.9508074089924203,0.016045908041518314,0.8489464219531717,0.012451128962222318,0.9225353991403017,0.015765277791097314,0.8326699991228255,0.11352352287046684,0.9094531109420533,0.08140533338614152
P35968,0.8233227180387367,0.08451275255549978,0.8365750690550806,0.16800748892770728,0.8132351021233403,0.0684837872419231,0.8765835652219629,0.06926130863868647,0.8148697418731713,0.12269445147200385,0.8811298324357484,0.08903066174188058
Q16790,0.8113145543334637,0.09125734688147472,0.755527593061467,0.19939544178025975,0.8071440126915771,0.06110936053272886,0.8146225619669176,0.18695975665896888,0.8714584602136997,0.06521703418242127,0.9218420287793222,0.02886611289637174
P56817,0.8546773126006759,0.0726632763666904,0.9280388334804451,0.07486634650223722,0.8489491641535869,0.06603117843103874,0.8295661311194047,0.13983061102056568,0.8423133240372238,0.0732439279419853,0.9437874209708885,0.01319870349638859
P22303,0.8722792388343479,0.06083006566258632,0.8754371590486174,0.07560545927310976,0.8679918893610588,0.04598052983161686,0.8995769925857633,0.026812864742584975,0.8624532176877475,0.06492323066198978,0.8032442399815682,0.23177623855085447
P06276,0.8874860527765716,0.0575717533973343,0.8889641322177729,0.12044340609564415,0.8836448249216164,0.01638243827574721,0.9061844200113652,0.024384709448601414,0.9143122216435714,0.006885938328853868,0.9118391327762799,0.02991449427514223
P00915,0.8738529454501304,0.05121691870717968,0.8790797505882104,0.12425903129361035,0.8674054548172322,0.03821177002782617,0.7938923688357613,0.23725007022892755,0.9279092018558828,0.010769808809131377,0.9487378667968887,0.024837720838182187
P34913,0.8569948472525946,0.05371611363611502,0.8037193511990459,0.1276560085800874,0.8489570067200048,0.03288341225346528,0.8691723710811798,0.06003219861865338,0.8668514422474057,0.061068506156950135,0.8943119130705265,0.0484135165320469
Q13547,0.8777773832395319,0.05880763410104872,0.8679763432590066,0.08883971372939585,0.8829680650928505,0.0400456812763095,0.8985721719387223,0.027703964814172036,0.8961753144161231,0.05273044714796259,0.8458453580825915,0.1231472527381811
P27487,0.8913381810318999,0.052394482598839824,0.7893454660291482,0.2696960259665634,0.8807295180237604,0.04743096049990304,0.7495949741339478,0.2887156557180409,0.8897099176809826,0.04996089695118116,0.882015760803023,0.05412833374986462
