target,run,GAT_acc,GAT_auroc,GAT_rg_acc,GAT_rg_auroc,PPGAT_acc,PPGAT_auroc
P08581,0,0.9399293286219081,0.9811650679456434,0.9222614840989399,0.969536870503597,0.9346289752650176,0.9689623301358913
P08581,1,0.9257950530035336,0.9722027797220278,0.9169611307420494,0.9681094390560944,0.9204946996466431,0.9623662633736627
P08581,2,0.9328621908127208,0.9803561387066542,0.9275618374558304,0.9742955326460481,0.8763250883392226,0.94601686972821
P08581,3,0.9257950530035336,0.9794760970856807,0.9399293286219081,0.9765967546500443,0.8992932862190812,0.9573157782968783
P08581,4,0.9593639575971732,0.9847230546398962,0.9275618374558304,0.9798159524523026,0.9293286219081273,0.9638772350414544
P35968,0,0.8841584158415842,0.9434923757993113,0.8732673267326733,0.9368401377274963,0.8811881188118812,0.9410329562223315
P35968,1,0.8930693069306931,0.9442739403453689,0.8683168316831683,0.9337833594976452,0.8554455445544554,0.9140757456828886
P35968,2,0.8603960396039604,0.924698287189021,0.8861386138613861,0.940534042461396,0.8554455445544554,0.9200701283725745
P35968,3,0.8702970297029703,0.9340734374816053,0.8782178217821782,0.9448178974920438,0.8742574257425743,0.9313461183774218
P35968,4,0.8574257425742574,0.9364285714285714,0.8554455445544554,0.9332201726844584,0.8217821782178217,0.8993406593406594
Q16790,0,0.96494708994709,0.9912253842721792,0.9642857142857143,0.9887137270683335,0.9656084656084656,0.9890907818418819
Q16790,1,0.9623015873015873,0.9841359212759213,0.9517195767195767,0.9833636014970044,0.955026455026455,0.9833347051787455
Q16790,2,0.9603174603174603,0.98378607958526,0.9457671957671958,0.9814093806921677,0.968915343915344,0.9876970365699874
Q16790,3,0.9662698412698413,0.991540938845521,0.951058201058201,0.977823187594077,0.9609788359788359,0.9888428956488255
Q16790,4,0.9814814814814815,0.9885506607004055,0.9556878306878307,0.9793920645924805,0.9708994708994709,0.9838676358339811
P56817,0,0.9438405797101449,0.9813725361452903,0.9365942028985508,0.9682998253470079,0.9583333333333334,0.9920552586308781
P56817,1,0.8913043478260869,0.9600630790459295,0.9057971014492754,0.9575990538143111,0.9311594202898551,0.978034036401866
P56817,2,0.9148550724637681,0.9752155738997844,0.9021739130434783,0.9552158367947843,0.9347826086956522,0.9766483516483516
P56817,3,0.9293478260869565,0.9768841579604443,0.9057971014492754,0.9571719561074972,0.9402173913043478,0.984755897233721
P56817,4,0.907608695652174,0.9739727646386784,0.8786231884057971,0.9517668842168849,0.9311594202898551,0.967347769563105
P22303,0,0.927536231884058,0.9737492116880387,0.8985507246376812,0.9623303669446196,0.893719806763285,0.9548764393992479
P22303,1,0.894927536231884,0.9490374684164765,0.8828502415458938,0.9316395422796157,0.8961352657004831,0.9468842452923774
P22303,2,0.9202898550724637,0.9692453656400525,0.9057971014492754,0.9538403152824405,0.9082125603864735,0.9541789519778134
P22303,3,0.892512077294686,0.9507760532150776,0.9045893719806763,0.9576642548722137,0.8985507246376812,0.9591609289298635
P22303,4,0.9094202898550725,0.9602938512159059,0.9142512077294686,0.9603990485485691,0.8695652173913043,0.9386553443167142
P06276,0,0.9118773946360154,0.9710006607444388,0.9022988505747126,0.9524851332501285,0.9176245210727969,0.9712209088906836
P06276,1,0.9042145593869731,0.9573192239858906,0.9042145593869731,0.9648001175778953,0.9099616858237548,0.962610229276896
P06276,2,0.8984674329501916,0.9627320974404963,0.9118773946360154,0.9591743726202202,0.9061302681992337,0.9659663927316564
P06276,3,0.8831417624521073,0.9578365504770586,0.8812260536398467,0.9490892518486937,0.89272030651341,0.9495155907734376
P06276,4,0.9272030651340997,0.9665888639332952,0.9022988505747126,0.9507567416802454,0.9042145593869731,0.9624271516859705
P00915,0,0.9637305699481865,0.9904811443433029,0.957901554404145,0.9842493393179244,0.969559585492228,0.9887302319728177
P00915,1,0.9669689119170984,0.9870789581916921,0.9617875647668394,0.9842444539571426,0.9507772020725389,0.9824834856763948
P00915,2,0.966321243523316,0.9894933540175581,0.9682642487046632,0.988684956759561,0.9643782383419689,0.9952033417111159
P00915,3,0.9643782383419689,0.9873595977092523,0.9591968911917098,0.9838524777269768,0.9604922279792746,0.9874561085486783
P00915,4,0.9669689119170984,0.9877909592002524,0.9520725388601037,0.9812743794772638,0.9702072538860104,0.9879781063062701
P34913,0,0.9462738301559792,0.9857434787835077,0.9428076256499134,0.9789397764154345,0.9480069324090121,0.9830147854309412
P34913,1,0.951473136915078,0.9880331611197886,0.925476603119584,0.9753394208818936,0.9393414211438474,0.9771957226961433
P34913,2,0.9480069324090121,0.9899062725306417,0.92894280762565,0.9770067291516462,0.9462738301559792,0.9879355924056716
P34913,3,0.9358752166377816,0.9794566654645991,0.9393414211438474,0.9747084986176222,0.925476603119584,0.9796009135713428
P34913,4,0.951473136915078,0.9849566241318818,0.9480069324090121,0.971679523225915,0.9601386481802426,0.985917862206522
Q13547,0,0.9741379310344828,0.9893357653138775,0.9605911330049262,0.9782763337893298,0.9593596059113301,0.9897856817145463
Q13547,1,0.9741379310344828,0.9871228621524386,0.9532019704433498,0.9768393527759408,0.9679802955665024,0.9839164699958137
Q13547,2,0.9716748768472906,0.9867854518513121,0.9507389162561576,0.9771660381254288,0.9642857142857143,0.9809069212410502
Q13547,3,0.9753694581280788,0.9841539469533354,0.9741379310344828,0.9833501176927371,0.9630541871921182,0.9828526535465553
Q13547,4,0.979064039408867,0.9848371589880095,0.9655172413793104,0.9812606732422955,0.9630541871921182,0.9763836472254128
P27487,0,0.9640804597701149,0.9953096614368291,0.9468390804597702,0.9770189925681255,0.9755747126436781,0.9925392237819982
P27487,1,0.9712643678160919,0.9852518579686209,0.9698275862068966,0.9815937241948802,0.9712643678160919,0.9841370767960363
P27487,2,0.9640804597701149,0.9906744076261149,0.9655172413793104,0.9865996372460516,0.9597701149425287,0.9837630338818815
P27487,3,0.9525862068965517,0.9850645811310782,0.9698275862068966,0.9826654994714588,0.9626436781609196,0.9776856501057083
P27487,4,0.9741379310344828,0.9946327123794425,0.9568965517241379,0.9839889681595984,0.9396551724137931,0.9807933676839742
