target,run,GAT_acc,GAT_auroc,GAT_rg_acc,GAT_rg_auroc,PPGAT_acc,PPGAT_auroc
P08581,0,0.7580645161290323,0.9082552896288588,0.6182795698924731,0.7002832697421666,0.8387096774193549,0.9023586541796739
P08581,1,0.7876344086021505,0.8974447913053533,0.7634408602150538,0.8480460168805644,0.8064516129032258,0.8809110879870504
P08581,2,0.827027027027027,0.9194448502556611,0.7486486486486487,0.8166252739225712,0.7594594594594595,0.859517896274653
P08581,3,0.7837837837837838,0.9143024105186267,0.7297297297297297,0.8356318480642805,0.8108108108108109,0.8966691015339664
P08581,4,0.8486486486486486,0.9221621621621622,0.8594594594594595,0.898027757487217,0.7756756756756756,0.8906355003652301
P35968,0,0.7685185185185185,0.861816034141137,0.5509259259259259,0.6500628715134887,0.7253086419753086,0.8478985672915715
P35968,1,0.7777777777777778,0.8739521414418534,0.720679012345679,0.8267032464563329,0.7839506172839507,0.8876790885535741
P35968,2,0.7654320987654321,0.8366197988111568,0.5015432098765432,0.7360920591373267,0.6095679012345679,0.7996494436823656
P35968,3,0.7175925925925926,0.812738149672306,0.625,0.8048125285779607,0.5895061728395061,0.7997351775643956
P35968,4,0.6898148148148148,0.8024786617893614,0.5972222222222222,0.7417219173906415,0.7067901234567902,0.8065081542447798
Q16790,0,0.8866279069767442,0.9434407111952406,0.9026162790697675,0.960971302055165,0.8808139534883721,0.9593741549486209
Q16790,1,0.9096209912536443,0.9643175887597855,0.8513119533527697,0.9134289284226811,0.760932944606414,0.9496213312480346
Q16790,2,0.8953488372093024,0.9528461330448892,0.8909883720930233,0.951882774472688,0.8531976744186046,0.9451815170362357
Q16790,3,0.8575581395348837,0.9351676581936182,0.8880813953488372,0.946322336398053,0.8502906976744186,0.9237003109789076
Q16790,4,0.8880813953488372,0.9481814494321255,0.9215116279069767,0.9592347214710654,0.8924418604651163,0.95769672796106
P56817,0,0.8537414965986394,0.9202647045212643,0.7653061224489796,0.8620019436345967,0.9149659863945578,0.9632097737054006
P56817,1,0.8732876712328768,0.9253612310001876,0.8527397260273972,0.8836085569525238,0.8938356164383562,0.936479639707262
P56817,2,0.8401360544217688,0.9104077004951642,0.7925170068027211,0.8704706372344856,0.9013605442176871,0.9655699014299597
P56817,3,0.8163265306122449,0.8626960988477024,0.7414965986394558,0.8129483085751308,0.8129251700680272,0.8968948123467073
P56817,4,0.8356164383561644,0.9453931319196848,0.8424657534246576,0.9128823419027962,0.8767123287671232,0.9566053668605742
P22303,0,0.8266666666666667,0.9168987654320988,0.7711111111111111,0.8699061728395061,0.8288888888888889,0.9042567901234568
P22303,1,0.7844444444444445,0.8498765432098766,0.6977777777777778,0.813846913580247,0.6822222222222222,0.8628345679012346
P22303,2,0.7844444444444445,0.8752197530864196,0.5555555555555556,0.7345777777777778,0.6622222222222223,0.8051950617283951
P22303,3,0.7377777777777778,0.8334222222222223,0.7533333333333333,0.8303802469135801,0.7066666666666667,0.817758024691358
