target,run,GAT_acc,GAT_auroc,GAT_rg_acc,GAT_rg_auroc,PPGAT_acc,PPGAT_auroc
P08581,0,0.9452296819787986,0.9809027777777777,0.911660777385159,0.9668889888089527,0.9293286219081273,0.9738833932853718
P08581,1,0.9452296819787986,0.9817393260673932,0.901060070671378,0.9567730726927307,0.9169611307420494,0.9613788621137886
P08581,2,0.9434628975265018,0.9797500781005937,0.9169611307420494,0.9685473289597001,0.911660777385159,0.9648922211808809
P08581,3,0.8939929328621908,0.9646546662835871,0.9045936395759717,0.9610008369455235,0.9240282685512368,0.9641112762794649
P08581,4,0.9346289752650176,0.9802217560683248,0.9187279151943463,0.9722055738687444,0.9399293286219081,0.9809334731795025
P35968,0,0.8762376237623762,0.9360393507132316,0.8366336633663366,0.9194176094441712,0.8653465346534653,0.9372749631087064
P35968,1,0.8801980198019802,0.9441718995290423,0.8732673267326733,0.9313500784929356,0.8772277227722772,0.9342660910518052
P35968,2,0.8821782178217822,0.9385592306274292,0.8643564356435643,0.9297029741803648,0.8683168316831683,0.9299088880260119
P35968,3,0.8514851485148515,0.9219594316188504,0.8564356435643564,0.9362572548650272,0.8683168316831683,0.9342009739864772
P35968,4,0.8455445544554455,0.9161302982731554,0.8722772277227723,0.936416797488226,0.8603960396039604,0.926866169544741
Q16790,0,0.9616402116402116,0.9880173567673021,0.9517195767195767,0.9866797309001198,0.9583333333333334,0.9837367790249065
Q16790,1,0.9609788359788359,0.986075477183292,0.9523809523809523,0.9821657177582762,0.957010582010582,0.9837348754043296
Q16790,2,0.9616402116402116,0.9896183620568868,0.9583333333333334,0.9844402409976181,0.9464285714285714,0.98491137732941
Q16790,3,0.9715608465608465,0.9905187804109636,0.9338624338624338,0.9792234046277174,0.957010582010582,0.9861212237896875
Q16790,4,0.9623015873015873,0.9868358858007185,0.9675925925925926,0.9870170794731203,0.966931216931217,0.987573790466587
P56817,0,0.9329710144927537,0.9785295005974971,0.9239130434782609,0.9695670444248927,0.9547101449275363,0.9883061286128876
P56817,1,0.894927536231884,0.9632827386819107,0.907608695652174,0.9660950128129312,0.9257246376811594,0.9702608581378541
P56817,2,0.9547101449275363,0.9857248015142752,0.9402173913043478,0.9761422787738576,0.9311594202898551,0.9825832062674168
P56817,3,0.9438405797101449,0.987331624942506,0.9021739130434783,0.9625599579473026,0.9221014492753623,0.9755962941060516
P56817,4,0.9221014492753623,0.9685099342096625,0.9438405797101449,0.9787067799503618,0.9202898550724637,0.966651783955562
P22303,0,0.9251207729468599,0.9720558008081659,0.8888888888888888,0.9621581061827015,0.8756038647342995,0.9473232429402285
P22303,1,0.8985507246376812,0.9535889969714829,0.8864734299516909,0.9479258450963114,0.9142512077294686,0.9566671140391314
P22303,2,0.9070048309178744,0.9607911253831557,0.9190821256038647,0.9575361261129761,0.8031400966183575,0.8553349875930522
P22303,3,0.9178743961352657,0.9652468199323142,0.9106280193236715,0.9609230948768818,0.9142512077294686,0.9636363636363637
P22303,4,0.8913043478260869,0.9589555073725797,0.8997584541062802,0.9496893756538306,0.8997584541062802,0.9557294558375754
P06276,0,0.8908045977011494,0.967329858307026,0.8773946360153256,0.9370457381983702,0.9176245210727969,0.9687908376771162
P06276,1,0.9176245210727969,0.9680188124632569,0.9080459770114943,0.9612654320987655,0.9272030651340997,0.9738977072310406
P06276,2,0.896551724137931,0.9552932182708282,0.9176245210727969,0.9674512282971436,0.8850574712643678,0.9477514297055322
P06276,3,0.9367816091954023,0.9803884094617838,0.8754789272030651,0.9499125270137163,0.9157088122605364,0.9701121712412343
P06276,4,0.9157088122605364,0.9598435137475962,0.9176245210727969,0.9557992395883794,0.8850574712643678,0.9449215366773829
P00915,0,0.9715025906735751,0.9946230966064014,0.957901554404145,0.9822945593355428,0.9727979274611399,0.9915877343848315
