target,GAT_acc_mean,GAT_acc_std,GAT_auroc_mean,GAT_auroc_std,GAT_rg_acc_mean,GAT_rg_acc_std,GAT_rg_auroc_mean,GAT_rg_auroc_std,PPGAT_acc_mean,PPGAT_acc_std,PPGAT_auroc_mean,PPGAT_auroc_std
P08581,0.9367491166077737,0.012463033278126086,0.9795846276199806,0.004098778122421969,0.9268551236749116,0.007627926906333197,0.9736709098616172,0.004352757946968234,0.9120141342756185,0.02153448619815208,0.9597076953152193,0.007787955875460017
P35968,0.8730693069306931,0.013682007659504726,0.9365933224487757,0.0071338300426102355,0.8722772277227723,0.010270338597932634,0.937839121972608,0.004353108670671131,0.8576237623762376,0.020620698688229428,0.9211731215991751,0.014325841280245014
Q16790,0.9670634920634921,0.007498961789977971,0.9878477969358574,0.00334116685012526,0.9537037037037038,0.006161806718969367,0.9821403922888127,0.0037797066115709647,0.9642857142857142,0.0057200392355660715,0.9865666110146843,0.0024722643222362963
P56817,0.9173913043478261,0.018028775803803958,0.9735016223380253,0.007171427783020381,0.9057971014492754,0.018439145869564466,0.958010711256097,0.005541399465379749,0.9391304347826088,0.010157859252808831,0.9797682626955844,0.0082807826059422
P22303,0.9089371980676327,0.013719296445568059,0.9606203900351102,0.009776889387022467,0.9012077294685991,0.010456454503339768,0.9531747055854918,0.011138937236994577,0.8932367149758453,0.012817873585914604,0.9507511819832033,0.007221546756981562
P06276,0.9049808429118775,0.014569466162323035,0.9630954793162358,0.005212468399136813,0.9003831417624522,0.01020912842488447,0.9552611233954366,0.005871856670947291,0.9061302681992336,0.008127664151569512,0.9623480546717289,0.007163337683914495
P00915,0.9656735751295337,0.0013585606841582322,0.9884408026924115,0.0013203620388726482,0.9598445595854923,0.005277603312814329,0.9844611214477738,0.002385722229371902,0.9630829015544041,0.007106666696551906,0.9883702548430554,0.0040611366592220345
P34913,0.9466204506065857,0.005737589378595088,0.9856192404060836,0.003539420377963649,0.9369150779896014,0.008462083615759935,0.9755347896585024,0.0024225831583542037,0.943847487001733,0.011369996164198787,0.9827329752621241,0.0039436308999829155
Q13547,0.9748768472906404,0.0024132903869785137,0.9864470370517946,0.0018311736507091543,0.9608374384236452,0.008475197307431176,0.9793785031251463,0.002524810873671458,0.9635467980295566,0.0027647714680595526,0.9827690747446758,0.0043542525173195625
P27487,0.9652298850574713,0.007460204014797227,0.9901866441084172,0.004400872328445252,0.9617816091954022,0.00883825086162626,0.9823733643280228,0.0031570250914646734,0.9617816091954022,0.012446211395234292,0.9837836704499197,0.004958080249748378
